Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
NE.GDI.CON.GOVT.SNA08.CR,Economic Indicators,"GDP expenditure on general government consumption (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data dates back to 2010 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.CON.NPI.CR,Economic Indicators,GDP expenditure on non profit private institution consumption (in IDR Million),,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data dates back to 1993 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.CON.NPI.SNA08.CR,Economic Indicators,"GDP expenditure on non profit private institution consumption (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data dates back to 2010 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.CON.PRVT.CR,Economic Indicators,GDP expenditure on private consumption (in IDR Million),,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data dates back to 1993 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.CON.PRVT.SNA08.CR,Economic Indicators,"GDP expenditure on private consumption (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data dates back to 2010 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.EXPT.CR,Economic Indicators,GDP expenditure on exports (in IDR Million),,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data dates back to 1993 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.EXPT.SNA08.CR,Economic Indicators,"GDP expenditure on exports (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data dates back to 2010 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.FTOT.CR,Economic Indicators,GDP expenditure on gross fixed capital formation (in IDR Million),,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data dates back to 1993 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.FTOT.SNA08.CR,Economic Indicators,"GDP expenditure on gross fixed capital formation (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data dates back to 2010 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.IMPT.CR,Economic Indicators,GDP expenditure on imports (in IDR Million),,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data dates back to 1993 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.IMPT.SNA08.CR,Economic Indicators,"GDP expenditure on imports (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data dates back to 2010 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.INEX.SNA08.CR,,"GDP expenditure on inter-region net exports (in IDR Million), SNA 2008, Current Price",,,,,,,,,,Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data dates back to 2010 and available only at province level.,,,,,,,
NE.GDI.STKB.CR,Economic Indicators,GDP expenditure on changes in stock (in IDR Million),,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data dates back to 1993 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.STKB.SNA08.CR,Economic Indicators,"GDP expenditure on changes in stock (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data dates back to 2010 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.TOTL.CR,Economic Indicators,Total GDP based on expenditure (in IDR Million),,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 1983. Data dates back to 1993 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.TOTL.SNA08.CR,Economic Indicators,"Total GDP based on expenditure (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data dates back to 2010 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NRRV.SHR.FRST.CR,Fiscal Indicators,"Total Natural Resources Revenue Sharing from Forestry (in IDR, realization value)",,,IDR,Annual,,"Official data from Central Government Financial Report, Ministry of Finance",,,,The data for Forestry Resource Revenue Sharing is only available for 2005 - 2009,"Ministry of Finance, Laporan Keuangan Pemerintah Pusat (Central Government Financial Report)",,,,,,
NRRV.SHR.FSH.CR,Fiscal Indicators,"Total Natural Resources Revenue Sharing from Fishery (in IDR, realization value)",,,IDR,Annual,,"Official data from Central Government Financial Report, Ministry of Finance",,,,The data for Fishery Resource Revenue Sharing is only available for 2005 - 2009,"Ministry of Finance, Laporan Keuangan Pemerintah Pusat (Central Government Financial Report)",,,,,,
NRRV.SHR.GAS.CR,Fiscal Indicators,"Total Natural Resources Revenue Sharing from Gas (in IDR, realization value)",,,IDR,Annual,,"Official data from Central Government Financial Report, Ministry of Finance",,,,The data for Gas Resource Revenue Sharing is only available for 2005 - 2009,"Ministry of Finance, Laporan Keuangan Pemerintah Pusat (Central Government Financial Report)",,,,,,
NRRV.SHR.GEOT.CR,Fiscal Indicators,"Total Natural Resources Revenue Sharing from Geothermal  Energy (in IDR, realization value)",,,IDR,Annual,,"Official data from Central Government Financial Report, Ministry of Finance",,,,The Geothermal energy sector included in the Revenue Sharing starts from 2009,"Ministry of Finance, Laporan Keuangan Pemerintah Pusat (Central Government Financial Report)",,,,,,
NRRV.SHR.MIN.CR,Fiscal Indicators,"Total Natural Resources Revenue Sharing from Mining (in IDR, realization value)",,,IDR,Annual,,"Official data from Central Government Financial Report, Ministry of Finance",,,,The data for Mining Resource Revenue Sharing is only available for 2005 - 2009,"Ministry of Finance, Laporan Keuangan Pemerintah Pusat (Central Government Financial Report)",,,,,,
NRRV.SHR.PETR.CR,Fiscal Indicators,"Total Natural Resources Revenue Sharing from Oil (in IDR, realization value)",,,IDR,Annual,,"Official data from Central Government Financial Report, Ministry of Finance",,,,The data for Oil Resource Revenue Sharing is only available for 2005 - 2009,"Ministry of Finance, Laporan Keuangan Pemerintah Pusat (Central Government Financial Report)",,,,,,
PALM.LND.DMG,Economic Indicators,Palm Oil Land Area by type of condition: Damaged (in Hectares),,,Hectares,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.LND.IMM,Economic Indicators,Palm Oil Land Area by type of condition: Immature (in Hectares),,,Hectares,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.LND.MTR,Economic Indicators,Palm Oil Land Area by type of condition: Mature (in Hectares),,,Hectares,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.LND.PRVT,Economic Indicators,Palm Oil Land Area by type of ownership: Private (in Hectares),,,Tons,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.LND.SMHD,Economic Indicators,Palm Oil Land Area by type of ownership: Smallholder (in Hectares),,,Hectares,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.LND.SOE,Economic Indicators,Palm Oil Land Area by type of ownership: State Owned Enterprise (in Hectares),,,Hectares,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.LND.TOTL,Economic Indicators,Palm Oil Land Area: Total (in Hectares),,,Hectares,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.PRD.PRVT,Economic Indicators,Palm Production by type of ownership: Private (in Tons),,,Kg/Ha,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.PRD.SMHD,Economic Indicators,Palm Production by type of ownership: Smallholder (in Tons),,,Tons,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.PRD.SOE,Economic Indicators,Palm Production by type of ownership: State Owned Enterprise (in Tons),,,Tons,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.PRD.TOTL,Economic Indicators,Palm Production: Total (in Tons),,,Tons,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.YLD.PRVT,Economic Indicators,Palm Oil Yield by type of ownership: Private (in Kg/Ha),,,Hectares,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.YLD.SMHD,Economic Indicators,Palm Oil Yield by type of ownership: Smallholder (in Kg/Ha),,,Kg/Ha,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
PALM.YLD.SOE,Economic Indicators,Palm Oil Yield by type of ownership: State Owned Enterprise (in Kg/Ha),,,Kg/Ha,Annual,,Official data from Tree Crop Estate Statistics of Indonesia Publication - Ministry of Agriculture,,,,The data is available since 1996,"Ministry of Agriculture, Tree Crop Estate Statistics of Indonesia for Oil Palm",,,,,,
RES.DPST.CBK,Economic Indicators,"Outstanding Deposits of Commercial Banks owned by Regional Government (Province Level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2002-2006; 2006 data is only available until October while other years are based on December's value,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
REV.DAK.CR,Fiscal Indicators,Total Special Allocation Grant/DAK (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) and/or Central Government Financial Report (LKPP) - Ministry of Finance,,,,"For year 1994-2017 (realization). Prior to 2001, the Special Allocation Grant was named Inpres Funding. Missing data for 2017 had been filled in with values taken from the Central Government Financial Report (LKPP).","Ministry of Finance, SIKD (Information System for Sub-National Budget) and LKPP (Central Government Financial Report)",,,,,,
REV.DAU.CR,Fiscal Indicators,Total General Allocation Grant/DAU (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) and/or Central Government Financial Report (LKPP) - Ministry of Finance,,,,"For year 1994-2017 (realization). Prior to 2001, the General Allocation Grant was named Subsidy for Autonomous Region. Missing data for 2017 had been filled in with values taken from the Central Government Financial Report (LKPP).","Ministry of Finance, SIKD (Information System for Sub-National Budget) and LKPP (Central Government Financial Report)",,,,,,
REV.NRRV.SHR.CR,Fiscal Indicators,Total Natural Resource Revenue Sharing/DBH SDA (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,For year 1994-2017 (realization value),"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
REV.OSRV.CR,Fiscal Indicators,Total Own Source Revenue/PAD (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,For year 1994-2013 (realization value),"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
REV.OTHR.CR,Fiscal Indicators,Total Other Revenue (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,"For year 1994-2017 (realization). Other Revenue consists of Transfers from Central Government, Transfer from province (from district), Transfers from other region, Emergency Fund, and others.","Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
REV.RV.SHR.CR,Fiscal Indicators,Total Revenue Sharing,,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) and/or Central Government Financial Report (LKPP) - Ministry of Finance,,,,For year 2011-2017 (realization value). Missing data for 2017 had been filled in with values taken from the Central Government Financial Report (LKPP).,"Ministry of Finance, SIKD (Information System for Sub-National Budget) and LKPP (Central Government Financial Report)",,,,,,
REV.TOTL.CR,Fiscal Indicators,Total Revenue (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,For year 1994-2017 (realization),"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
REV.TXRV.SHR.CR,Fiscal Indicators,Total Tax Revenue Sharing/DBH Pajak (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,For year 1994-2013 (realization value),"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
ROD.DIST.ASPH.KM,Infrastructure Indicators,"Length of District Road: Asphalt (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.DIST.BDMG.BM.KM,Infrastructure Indicators,Length of District Road: Bad Damage (in km) (Bina Marga Data),,,Km,,,Official data from Ministry of Public Works,,,,"Only available for several years: 1999, 2000, 2002, 2008","Ministry of Public Works, Directorate General of Highways (Bina Marga) Statistics",,,,,,
ROD.DIST.BDMG.KM,Infrastructure Indicators,"Length of District Road: Bad Damage (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.DIST.DIRT.KM,Infrastructure Indicators,"Length of District Road: Dirt (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.DIST.FAIR.BM.KM,Infrastructure Indicators,Length of District Road: Fair (in km) (Bina Marga Data),,,Km,,,Official data from Ministry of Public Works,,,,"Only available for several years: 1999, 2000, 2002, 2008","Ministry of Public Works, Directorate General of Highways (Bina Marga) Statistics",,,,,,
ROD.DIST.FAIR.KM,Infrastructure Indicators,"Length of District Road: Fair (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.DIST.GOOD.BM.KM,Infrastructure Indicators,Length of District Road: Good (in km) (Bina Marga Data),,,Km,,,Official data from Ministry of Public Works,,,,"Only available for several years: 1999, 2000, 2002, 2008","Ministry of Public Works, Directorate General of Highways (Bina Marga) Statistics",,,,,,
ROD.DIST.GOOD.KM,Infrastructure Indicators,"Length of District Road: Good (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.DIST.GRAVL.KM,Infrastructure Indicators,"Length of District Road: Gravel (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.DIST.LDMG.BM.KM,Infrastructure Indicators,Length of District Road: Light Damage (in km) (Bina Marga Data),,,Km,,,Official data from Ministry of Public Works,,,,"Only available for several years: 1999, 2000, 2002, 2008","Ministry of Public Works, Directorate General of Highways (Bina Marga) Statistics",,,,,,
ROD.DIST.LDMG.KM,Infrastructure Indicators,"Length of District Road: Light Damage (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.DIST.OTHR.KM,Infrastructure Indicators,"Length of District Road: Other (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.NATL.ASPH.KM,Infrastructure Indicators,"Length of National Road: Asphalt (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.NATL.BDMG.KM,Infrastructure Indicators,"Length of National Road: Bad Damage (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.NATL.DIRT.KM,Infrastructure Indicators,"Length of National Road: Dirt (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.NATL.FAIR.KM,Infrastructure Indicators,"Length of National Road: Fair (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.NATL.GOOD.KM,Infrastructure Indicators,"Length of National Road: Good (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.NATL.GRAVL.KM,Infrastructure Indicators,"Length of National Road: Gravel (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.NATL.LDMG.KM,Infrastructure Indicators,"Length of National Road: Light Damage (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.NATL.OTHR.KM,Infrastructure Indicators,"Length of National Road: Other (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.PROV.ASPH.KM,Infrastructure Indicators,"Length of Province Road: Asphalt (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.PROV.BDMG.KM,Infrastructure Indicators,"Length of Province Road: Bad Damage (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.PROV.DIRT.KM,Infrastructure Indicators,"Length of Province Road: Dirt (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.PROV.FAIR.KM,Infrastructure Indicators,"Length of Province Road: Fair (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.PROV.GOOD.KM,Infrastructure Indicators,"Length of Province Road: Good (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.PROV.GRAVL.KM,Infrastructure Indicators,"Length of Province Road: Gravel (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.PROV.LDMG.KM,Infrastructure Indicators,"Length of Province Road: Light Damage (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.PROV.OTHR.KM,Infrastructure Indicators,"Length of Province Road: Other (in km) (BPS Data, Province only)",,,Km,,,Official data from Statistics Indonesia,,,,"Available for 2001 - 2008, Province only",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
ROD.VILG.ASPH.ZS,Infrastructure Indicators,Villages with road: Asphalt (in % of total villages),,,Percent,Triennial,,World Bank Staff Calculation based on Village Census (PODES) - Statistics Indonesia,,,,"Data only available once in three years: 1996, 2000, 2003, 2005, 2008, 2011, 2014, 2018.","BADAN PUSAT STATISTIK - Statistics Indonesia, Village Census (PODES)",,,,,,
ROD.VILG.DIRT.ZS,Infrastructure Indicators,Villages with road: Dirt (in % of total villages),,,Percent,Triennial,,World Bank Staff Calculation based on Village Census (PODES) - Statistics Indonesia,,,,"Data only available once in three years: 1996, 2000, 2003, 2005, 2008, 2011, 2014, 2018.","BADAN PUSAT STATISTIK - Statistics Indonesia, Village Census (PODES)",,,,,,
ROD.VILG.GRAVL.ZS,Infrastructure Indicators,Villages with road: Gravel (in % of total villages),,,Percent,Triennial,,World Bank Staff Calculation based on Village Census (PODES) - Statistics Indonesia,,,,"Data only available once in three years: 1996, 2000, 2003, 2005, 2008, 2011, 2014, 2018.","BADAN PUSAT STATISTIK - Statistics Indonesia, Village Census (PODES)",,,,,,
ROD.VILG.OTHR.ZS,Infrastructure Indicators,Villages with road: Other (in % of total villages),,,Percent,Triennial,,World Bank Staff Calculation based on Village Census (PODES) - Statistics Indonesia,,,,"Data only available once in three years: 1996, 2000, 2003, 2005, 2008, 2011, 2014, 2018.","BADAN PUSAT STATISTIK - Statistics Indonesia, Village Census (PODES)",,,,,,
SE.JRSEC.NENR.ZS,Social and Demographic Indicators,Net Enrollment Ratio: Junior Secondary (in %),,,Percent,Annual,,World Bank Staff Calculation based on National Socioeconomic Survey (SUSENAS) - Statistics Indonesia,,,,"Data in 2000, 2001 and 2002 is not available for N.A.D districts possibly because they are not surveyed. Data for conflict regions in 2002 are not available since they are not surveyed.  Since 2010, based on BPS definition, Package A, B and C (Paket A, B dan C) are included in the calculation. The data collection prior 2011 is conducted one time in July, while 2011 onwards is done quarterly. This affect the estimation of education indicators because school year starts in July and end in June of the subsequent year. There is different methodology in the estimation. Prior 2011, the inflating procedure was not based on age groups of 5 years (0-4, 5-9, 10-14..), while in 2011 it is based on the age groups of 5 years. Data for 2011-2014 are estimated using back-casting Inflate result based on Indonesian population projection 2010-2035. December Data in Susenas Pool Data 2014 uses 2013 data instead of 2014 data.","BADAN PUSAT STATISTIK - Statistics Indonesia, National Social Economic Survey (SUSENAS)",,,,,,
SE.LITR.15UP.ZS,Social and Demographic Indicators,Literacy Rate for Population age 15 and over (in % of total population),,,Percent,Annual,,World Bank Staff Calculation based on National Socioeconomic Survey (SUSENAS) - Statistics Indonesia,,,,"Data in 2000, 2001 and 2002 is not available for N.A.D districts possibly because they are not surveyed. Data for conflict regions in 2002 are not available since they are not surveyed.  December Data in Susenas Pool Data 2014 uses 2013 data instead of 2014 data.","BADAN PUSAT STATISTIK - Statistics Indonesia, National Social Economic Survey (SUSENAS)",,,,,,
SE.NEXM.SCR.JRSEC,Social and Demographic Indicators,"Average National Exam Score: Junior Secondary Level (out of 100, available only at district level)",,,,Annual,,Official data from Ministry of Education,,,,Available only in district level for 2009,Ministry of Education,,,,,,
SE.NEXM.SCR.PRM,Social and Demographic Indicators,"Average National Exam Score: Primary Level (out of 100, available only at district level)",,,,Annual,,Official data from Ministry of Education,,,,Available only in district level for 2009,Ministry of Education,,,,,,
SE.NEXM.SCR.SRSEC,Social and Demographic Indicators,"Average National Exam Score: Senior Secondary Level (out of 100, available only at district level)",,,,Annual,,Official data from Ministry of Education,,,,Available only in district level for 2009,Ministry of Education,,,,,,
SE.PRM.NENR.ZS,Social and Demographic Indicators,Net Enrollment Ratio: Primary (in %),,,Percent,Annual,,World Bank Staff Calculation based on National Socioeconomic Survey (SUSENAS) - Statistics Indonesia,,,,"Data in 2000, 2001 and 2002 is not available for N.A.D districts possibly because they are not surveyed. Data for conflict regions in 2002 are not available since they are not surveyed.  Since 2010, based on BPS definition, Package A, B and C (Paket A, B dan C) are included in the calculation. The data collection prior 2011 is conducted one time in July, while 2011 onwards is done quarterly. This affect the estimation of education indicators because school year starts in July and end in June of the subsequent year. There is different methodology in the estimation. Prior 2011, the inflating procedure was not based on age groups of 5 years (0-4, 5-9, 10-14..), while in 2011 it is based on the age groups of 5 years. Data for 2011-2014 are estimated using back-casting Inflate result based on Indonesian population projection 2010-2035. December Data in Susenas Pool Data 2014 uses 2013 data instead of 2014 data.","BADAN PUSAT STATISTIK - Statistics Indonesia, National Social Economic Survey (SUSENAS)",,,,,,
SE.SCHL.JRSEC,Social and Demographic Indicators,Number of schools at Junior Secondary Level,,,,Triennial,,World Bank Staff Calculation based on Village Census (PODES) - Statistics Indonesia,,,,"Data only available once in three years: 1996, 2000, 2003, 2005, 2008, 2011, 2014, 2018.","BADAN PUSAT STATISTIK - Statistics Indonesia, Village Census (PODES)",,,,,,
SE.SCHL.PRM,Social and Demographic Indicators,Number of schools at Primary Level,,,,Triennial,,World Bank Staff Calculation based on Village Census (PODES) - Statistics Indonesia,,,,"Data only available once in three years: 1996, 2000, 2003, 2005, 2008, 2011, 2014, 2018.","BADAN PUSAT STATISTIK - Statistics Indonesia, Village Census (PODES)",,,,,,
SE.SCHL.SRSEC,Social and Demographic Indicators,Number of schools at Senior Secondary level,,,,Triennial,,World Bank Staff Calculation based on Village Census (PODES) - Statistics Indonesia,,,,"Data only available once in three years: 1996, 2000, 2003, 2005, 2008, 2011, 2014, 2018.","BADAN PUSAT STATISTIK - Statistics Indonesia, Village Census (PODES)",,,,,,
